Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2026.09.09 23:15:00;Sell Stop;0.01;XAUUSD;3 945.88;4 080.30;3 913.93;2026.09.11 10:15:00;4 351.81;;;;cancelled
2026.09.09 23:15:00;Buy Stop;0.01;XAUUSD;4 690.66;4 556.24;4 722.61;2026.09.11 10:15:00;4 352.01;;;;cancelled
2026.09.10 05:00:00;Buy Stop;0.01;XAUUSD;4 440.89;4 257.53;4 455.41;2026.09.11 01:00:01;4 321.59;;;;cancelled
2026.09.10 15:34:33;Sell;0.01;XAUUSD;4 343.33;4 337.88;4 210.24;2026.09.10 15:44:29;4 338.06;-0.02;;5.27;[sl]
2026.09.10 15:34:33;Sell;0.01;XAUUSD;4 343.32;4 334.94;4 319.08;2026.09.10 15:42:38;4 335.07;-0.02;;8.25;[sl]
2026.09.10 15:34:33;Sell;0.01;XAUUSD;4 343.33;4 343.33;4 324.93;2026.09.10 15:39:31;4 324.93;-0.02;;18.40;[tp]
2026.09.10 15:34:34;Sell;0.01;XAUUSD;4 342.65;4 336.71;4 327.55;2026.09.10 15:39:08;4 327.55;-0.02;;15.10;[tp]
2026.09.10 15:34:33;Sell;0.01;XAUUSD;4 343.32;4 341.87;4 329.06;2026.09.10 15:38:15;4 329.06;-0.02;;14.26;[tp]
2026.09.09 17:50:00;Sell Stop;0.01;XAUUSD;4 285.16;4 470.63;4 270.47;2026.09.10 13:50:00;4 382.83;;;;cancelled
2026.09.09 04:00:00;Buy Stop;0.01;XAUUSD;4 440.95;4 351.11;4 456.21;2026.09.10 10:00:00;4 425.27;;;;cancelled
2026.09.09 09:00:00;Buy Stop;0.01;XAUUSD;4 440.87;4 255.40;4 455.56;2026.09.10 05:00:00;4 412.40;;;;cancelled
2026.09.08 22:00:00;Sell Stop;0.01;XAUUSD;4 284.37;4 374.47;4 269.07;2026.09.10 04:00:00;4 401.01;;;;cancelled
2026.09.08 12:15:00;Sell Stop;0.01;XAUUSD;3 945.89;4 080.70;3 913.84;2026.09.09 23:15:00;4 397.26;;;;cancelled
2026.09.08 12:15:00;Buy Stop;0.01;XAUUSD;4 690.64;4 555.83;4 722.69;2026.09.09 23:15:00;4 397.41;;;;cancelled
2026.09.07 07:00:00;Buy Stop;0.01;XAUUSD;4 509.84;4 471.14;4 534.78;2026.09.09 19:00:00;4 398.93;;;;cancelled
2026.09.08 21:50:00;Sell Stop;0.01;XAUUSD;4 285.17;4 471.18;4 270.44;2026.09.09 17:50:00;4 420.74;;;;cancelled
2026.09.07 04:45:00;Sell Stop;0.01;XAUUSD;4 284.99;4 323.69;4 260.05;2026.09.09 16:45:00;4 417.14;;;;cancelled
2026.09.08 07:15:00;Buy Stop;0.01;XAUUSD;4 508.83;4 418.73;4 524.13;2026.09.09 13:15:00;4 391.28;;;;cancelled
2026.09.08 17:05:00;Buy Stop;0.01;XAUUSD;4 508.75;4 322.74;4 523.48;2026.09.09 13:05:00;4 390.36;;;;cancelled
2026.09.07 01:00:02;Sell Stop;0.01;XAUUSD;4 285.22;4 315.57;4 266.05;2026.09.09 08:15:00;4 387.70;;;;cancelled
2026.09.07 01:00:02;Buy Stop;0.01;XAUUSD;4 508.63;4 478.28;4 527.80;2026.09.09 08:15:00;4 387.74;;;;cancelled
2026.09.08 21:48:58;Sell;0.01;XAUUSD;4 368.19;4 368.19;4 349.06;2026.09.08 21:53:32;4 368.23;-0.02;;-0.04;[sl]
